time,pm10,pm2_5,nitrogen_dioxide,ozone,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,precipitation,surface_pressure
2022-08-04T00:00,33.1,23.1,2.2,36.0,24.1,83,18.9,329,0.0,960.4
2022-08-04T01:00,30.5,21.4,2.0,34.0,23.8,84,17.9,332,0.0,960.8
2022-08-04T02:00,27.7,19.4,1.9,31.0,23.7,83,16.9,331,0.0,961.6
2022-08-04T03:00,25.2,17.6,1.7,27.0,23.6,82,16.9,331,0.0,962.0
2022-08-04T04:00,23.8,16.6,1.5,25.0,23.3,84,16.0,329,0.0,961.8
2022-08-04T05:00,21.3,14.9,1.2,23.0,22.9,86,15.8,325,0.0,961.8
2022-08-04T06:00,20.1,14.1,1.0,22.0,22.8,86,15.0,325,0.0,961.6
2022-08-04T07:00,19.8,13.9,0.9,22.0,22.4,88,14.1,328,0.0,961.6
2022-08-04T08:00,19.8,13.9,0.9,23.0,22.1,90,13.3,322,0.0,961.5
2022-08-04T09:00,19.5,13.6,0.9,23.0,21.7,91,12.2,313,0.0,961.7
2022-08-04T10:00,18.9,13.2,0.9,22.0,21.4,93,11.2,312,0.0,962.4
2022-08-04T11:00,18.2,12.7,1.1,21.0,21.4,93,10.5,301,0.0,963.4
2022-08-04T12:00,20.5,14.4,1.7,18.0,23.5,84,7.3,281,0.0,964.7
2022-08-04T13:00,19.0,13.3,1.5,21.0,26.0,72,6.0,213,0.0,965.8
2022-08-04T14:00,17.1,12.0,1.2,25.0,26.0,66,8.8,161,0.6,966.5
2022-08-04T15:00,16.0,11.2,1.4,30.0,23.7,97,8.9,140,2.4,966.5
2022-08-04T16:00,16.4,11.4,2.0,31.0,25.8,68,8.0,162,1.5,966.2
2022-08-04T17:00,17.1,11.9,3.2,31.0,24.3,75,9.2,149,1.2,965.5
2022-08-04T18:00,17.6,12.3,5.3,31.0,23.8,67,15.1,168,0.4,964.1
2022-08-04T19:00,19.3,13.4,8.1,31.0,24.5,52,20.0,162,0.0,963.5
2022-08-04T20:00,20.7,14.5,11.5,30.0,23.9,50,18.6,158,0.0,963.6
2022-08-04T21:00,23.0,16.1,14.1,31.0,22.8,51,18.4,152,0.0,964.1
2022-08-04T22:00,25.7,18.0,13.0,35.0,21.8,54,16.0,157,0.0,965.1
2022-08-04T23:00,29.8,20.9,10.3,42.0,21.2,55,16.9,164,0.1,965.6
2022-08-05T00:00,39.9,27.9,4.0,50.0,23.0,45,14.5,174,0.0,965.9
2022-08-05T01:00,39.7,27.7,3.2,52.0,22.4,46,15.1,162,0.1,966.8
2022-08-05T02:00,41.8,29.2,2.2,55.0,21.5,48,18.6,171,0.0,967.4
2022-08-05T03:00,42.1,29.5,1.0,59.0,20.9,50,19.2,174,0.0,967.8
2022-08-05T04:00,49.2,34.3,0.8,61.0,20.4,51,19.2,174,0.0,968.3
2022-08-05T05:00,38.1,26.5,0.6,62.0,19.3,56,17.7,168,0.0,968.2
2022-08-05T06:00,36.4,25.5,0.6,64.0,19.1,57,16.3,162,0.0,967.5
